PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshCI1,FshCI2,FshCI3,FshCI4,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDSingLvBirthRate1,FshNDSingLvBirthRate2,FshNDSingLvBirthRate3,FshNDSingLvBirthRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation
ART PROGRAM OF ALABAMA,,BIRMINGHAM,ALABAMA,100%,0%,0%,0%,73%,0%,<1%,4%,2%,<1%,<1%,0%,3%,0%,0%,28%,63%,"Kathryn L. Honea, M.D.",134,28,16,4,33.6,46.4,0.1875,0.25,26.9,35.7,0.0625,0.25,-15,-35.5,=,=,31,40,0.090909091,0.333333333,32.4,40,0.090909091,0.333333333,23.4,32,0,0.333333333,13.4,10.7,0.3125,0.25,2.5,3.2,3.4,4,22.2,0.230769231,0.333333333,1,4.4,0.076923077,0,0,27.8,0.2,1,0,17,3,3,0,0.235294118,0.333333333,0.333333333,=,2,2,3,=,28,5,32.1,0,2.1,1.8,ART Program of Alabama,Yes,Yes,No,Yes,Yes,Yes,Yes
CENTER FOR REPRODUCTIVE MEDICINE,,MOBILE,ALABAMA,100%,0%,0%,0%,62%,0%,1%,5%,3%,3%,9%,<1%,3%,19%,<1%,23%,34%,"George T. Koulianos, M.D.",93,30,25,7,45.2,43.3,16,0.142857143,35.5,30,12,0.142857143,-19.4,-32.8,-24.7,=,42.9,39.1,14.3,0.166666667,44.6,39.1,15,0.166666667,23,26.1,10,0.166666667,17.2,23.3,16,0.142857143,2.5,3.5,3.6,4.3,40.5,0.307692308,0,0,7.1,0.076923077,0.25,0,48.5,0.333333333,0.333333333,0,2,4,2,0,0,0,0,=,2,3.8,3.5,=,15,3,0.733333333,0.333333333,2.7,3.7,Center for Reproductive Medicine,Yes,Yes,No,Yes,Yes,Yes,Yes
UNIVERSITY OF SOUTH ALABAMA IVF AND ART PROGRAM,,MOBILE,ALABAMA,100%,0%,0%,0%,42%,0%,0%,7%,10%,8%,8%,0%,0%,0%,0%,49%,18%,"Botros R.M. Rizk, M.D.",20,6,4,3,35,0.333333333,0.25,0,35,0.166666667,0.25,0,-41.8,=,=,=,0.368421053,0.2,0.333333333,0,0.388888889,0.2,0.333333333,0,0.277777778,0.2,0.333333333,0,5,0.166666667,0.25,0,2.7,2.8,3,2.5,0.142857143,0,0,=,0.142857143,0,0,=,0.285714286,0,0,=,2,0,0,0,0.5,=,=,=,2.5,=,=,=,1,0,0,=,4,=,University of South Alabama IVF and ART Program,Yes,No,Yes,Yes,Yes,Yes,Yes
FERTILITY TREATMENT CENTER,,CHANDLER,ARIZONA,100%,0%,0%,0%,66%,<1%,0%,16%,11%,35%,3%,1%,13%,6%,2%,8%,5%,"H. Randall Craig, M.D.",93,36,43,17,29,25,23.3,0.176470588,23.7,22.2,18.6,0.117647059,-17.3,-27.2,-23.2,=,25.6,24.2,22.9,0.181818182,31.9,32,25.8,0.25,23.2,20,16.1,0.125,7.5,8.3,18.6,0.352941176,2.1,2.2,2.8,2.8,22.2,0.333333333,0.5,0.333333333,3.7,0.111111111,0,0,27.3,0.375,0.375,0.5,63,20,17,6,46,50,0.411764706,0.333333333,2.2,2.2,2.6,2.8,29,32,44.8,40.6,2,2.3,Fertility Treatment Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WEST VALLEY FERTILITY CENTER,,GLENDALE,ARIZONA,100%,0%,0%,0%,63%,0%,2%,12%,1%,7%,1%,<1%,25%,3%,6%,9%,35%,"Vladimir Troche, M.D.",88,22,18,5,51.1,54.5,0.444444444,0.8,44.3,54.5,0.388888889,0.4,-20.8,-41.7,=,=,49.4,54.5,0.4375,0.4,54.2,57.1,0.4375,0.4,27.8,28.6,0.375,0.4,10.2,0,0.111111111,0,3.4,4,4.1,4,35.6,0.25,0.125,0,15.6,0.333333333,0,0,48.7,0.5,0.142857143,0,11,2,3,0,0.545454545,0.5,0,=,3,3,2,=,19,4,0.526315789,0.25,3,3.5,West Valley Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ARIZONA REPRODUCTIVE MEDICINE SPECIALISTS,,PHOENIX,ARIZONA,100%,0%,0%,0%,45%,0%,0%,7%,8%,18%,3%,0%,12%,1%,14%,13%,24%,"Drew Moffitt, M.D.",88,36,24,4,46.6,47.2,25,0.5,42,41.7,20.8,0.5,-20.7,-32.2,-32.5,=,45.1,46.9,0.3125,0.666666667,45.7,46.9,0.3125,0.666666667,24.7,37.5,0.125,0.333333333,6.8,11.1,33.3,0.25,2.8,2.7,3.3,3,39,0.235294118,0.5,0.5,4.9,0,0,0,45.9,0.2,0.6,0.5,30,9,2,3,30,0.111111111,0,0,2.7,2.7,3,3,14,1,0.428571429,0,2.6,1,Arizona Reproductive Medicine Specialists,Yes,Yes,Yes,No,Yes,Yes,Yes
SOUTHWEST FERTILITY CENTER,,PHOENIX,ARIZONA,100%,0%,0%,0%,45%,0%,0%,7%,4%,8%,12%,<1%,3%,6%,8%,30%,21%,"Sujatha Gunnala, M.D.",56,22,13,5,41.1,59.1,0.461538462,0.6,33.9,45.5,0.230769231,0.6,-24.8,-41.7,=,=,34.5,47.6,0.3,0.6,34.5,50,0.333333333,0.6,21.8,40,0.333333333,0.4,1.8,4.5,0.230769231,0,2.4,2.6,2.2,2.2,26.1,0.076923077,0,0.666666667,4.3,0.153846154,0,0,0.368421053,0.2,0,0.333333333,2,2,1,0,0,0.5,1,=,2,2,2,=,12,4,0.416666667,0.5,2,3.3,Southwest Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ARIZONA CENTER FOR FERTILITY STUDIES,,SCOTTSDALE,ARIZONA,11%,2%,87%,0%,18%,0%,4%,7%,<1%,9%,3%,0%,16%,34%,16%,6%,9%,"Jay S. Nemiro, M.D.",88,27,40,11,26.1,29.6,25,0.272727273,21.6,29.6,17.5,0.272727273,-17.2,-34.5,-23.6,=,23.5,32,18.4,0.333333333,27.9,38.1,20,0.5,8.8,19,11.4,0.333333333,8,7.4,5,0.181818182,3.6,4.6,3.6,3.7,43.5,0.25,0.3,0.333333333,17.4,0.25,0,0,0.684210526,0.5,0.428571429,0.333333333,9,4,5,0,0.111111111,0.25,0.2,=,4.4,3.8,5.4,=,22,6,59.1,0.5,4.7,4.7,Arizona Center for Fertility Studies,Yes,Yes,Yes,Yes,Yes,Yes,Yes
IVF PHOENIX,,SCOTTSDALE,ARIZONA,97%,3%,0%,0%,63%,0%,0%,11%,6%,0%,4%,0%,28%,6%,23%,13%,9%,"John L. Couvaras, M.D.",14,14,5,2,0.428571429,0.5,0.2,0,0.357142857,0.428571429,0,0,=,=,=,=,0.384615385,0.428571429,0,0,0.454545455,0.461538462,0,0,0.181818182,0.307692308,0,0,0.071428571,0,0.2,0,2.8,2.5,5.3,3,0.5,0.142857143,0,=,0,0.142857143,0,=,0.6,0.333333333,=,=,4,2,2,0,0.5,0.5,0,=,2.8,3.5,2.5,=,4,0,0.5,=,3,=,IVF Phoenix,Yes,Yes,Yes,Yes,Yes,Yes,Yes
MAYO CLINIC SCOTTSDALE,,SCOTTSDALE,ARIZONA,100%,0%,0%,0%,58%,0%,0%,8%,3%,11%,4%,0%,16%,1%,16%,16%,25%,"Ketan S. Patel, M.D.",42,36,16,14,59.5,47.2,0.5,0.428571429,52.4,27.8,0.3125,0.142857143,-30.2,-29.3,=,=,52.4,28.6,0.333333333,0.153846154,55,31.3,0.384615385,0.166666667,37.5,9.4,0.076923077,0.166666667,0,2.8,0.0625,0.071428571,2.5,2.7,3.4,3.3,20,0.294117647,0.5,0.166666667,8,0.176470588,0,0,31.8,0.7,0.8,0,22,8,12,1,45.5,0.5,0.333333333,0,2.8,2.6,3.2,4,15,10,0.666666667,0.4,2.1,2.6,Mayo Clinic Scottsdale,Yes,No,Yes,No,Yes,Yes,Yes
