OrderID,PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,PGD_Rate,eSETTotal,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDCycle5,FshNDImplant1,FshNDImplant2,FshNDImplant3,FshNDImplant4,FshNDImplant5,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDPregRate5,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDLvBirthsRate5,FshCI1,FshCI2,FshCI3,FshCI4,FshCI5,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDRetsRate5,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDTransRate5,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDSnglLB_TransRate5,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDCansRate5,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDEmbryosRate5,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTwinPregsRate5,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDTripPregsRate5,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,FshNDMultInfsRate5,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDLvBirthsRate5,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,ThwNDEmbryosRate5,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation,state_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ALABAMA FERTILITY SPECIALISTS,,BIRMINGHAM,ALABAMA,100%,0%,0%,0%,33%,0%,0%,0%,0%,21%,8%,4%,6%,0%,12%,0%,0%,24%,0.26,"Michael P. Steinkampf, MD",41.00,7.00,4.00,0.00,0.00,45.30,0.13,0.18,=,=,63.40,0.14,0.50,=,=,58.50,0.14,0.50,=,=,(42.1Ð73.7),,,,,64.9,0.17,0.50,=,=,64.9,0.17,0.67,=,=,29.7,0.00,0.67,=,=,9.8,0.14,0.00,=,=,2.3,2.7,3.7,=,=,46.2,1.00,0.00,=,=,3.8,0.00,0.00,=,=,54.2,1.00,0.00,=,=,16,2,1,0,0,0.25,0.00,0.00,=,=,2.4,3,1,=,=,5,4,0.20,0.00,2.4,2,Alabama Fertility Specialists,Yes,Yes,Yes,No,Yes,Yes,Yes,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ART FERTILITY PROGRAM OF ALABAMA,,BIRMINGHAM,ALABAMA,100%,0%,0%,0%,85%,0%,1%,2%,9%,2%,<1%,<1%,1%,0%,10%,2%,1%,12%,0.72,"Kathryn L. Honea, MD",176.00,38.00,37.00,9.00,0.00,36.60,36.20,12.50,0.11,=,46.00,52.60,18.90,0.11,=,36.40,42.10,18.90,0.11,=,(29.3Ð43.9),(26.3Ð59.2),(8.0Ð35.2),,,40.8,45.7,22.6,0.13,=,43,47.1,24.1,0.14,=,32.2,29.4,17.2,0.00,=,10.8,7.9,16.2,0.11,=,1.9,2,2.8,2.6,=,27.2,35,0.14,1.00,=,1.2,0,0.14,0.00,=,25,0.38,0.29,1.00,=,34,13,6,0,0,29.4,0.15,0.00,=,=,1.9,1.8,1.3,=,=,33,22,45.5,22.7,2,2.1,ART Fertility Program of Alabama,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,UNIVERSITY OF ALABAMA AT BIRMINGHAM,,BIRMINGHAM,ALABAMA,100%,0%,0%,0%,61%,0%,0%,3%,0%,12%,0%,9%,5%,0%,22%,3%,22%,14%,0.14,"Gordon W. Bates, MD",32.00,16.00,10.00,3.00,0.00,21.40,8.30,6.70,0.00,=,40.60,0.13,0.20,0.00,=,34.40,0.13,0.10,0.00,=,(18.6Ð53.2),,,,,34.4,0.13,0.10,0.00,=,35.5,0.13,0.10,0.00,=,29,0.13,0.10,0.00,=,0,0.00,0.00,0.33,=,2.3,2.4,3,5,=,0.23,0.50,0.50,=,=,0.00,0.00,0.00,=,=,0.18,0.00,0.00,=,=,2,0,1,0,0,0.00,=,0.00,=,=,2.5,=,1,=,=,1,0,0.00,=,2,=,University of Alabama at Birmingham,Yes,No,Yes,Yes,Yes,Yes,Yes,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"HUNTSVILLE REPRODUCTIVE MEDICINE, PC",,HUNTSVILLE,ALABAMA,100%,0%,0%,0%,79%,0%,2%,0%,3%,9%,6%,7%,6%,<1%,9%,4%,8%,29%,0.21,"Andrew J. Harper, MD",53.00,26.00,7.00,1.00,0.00,36.50,33.90,0.19,0.00,=,47.20,53.80,0.43,0.00,=,35.80,46.20,0.43,0.00,=,(23.1Ð50.2),(26.6Ð66.6),,,,38,48,0.43,0.00,=,39.6,50,0.50,0.00,=,14.6,33.3,0.50,0.00,=,5.7,3.8,0.00,0.00,=,2.2,2.3,2.7,5,=,52,0.36,0.00,=,=,4,0.00,0.00,=,=,0.63,0.33,0.00,=,=,19,10,7,0,0,0.16,0.40,0.71,=,=,1.8,1.3,2.1,=,=,10,5,0.80,0.60,2.1,1.8,"Huntsville Reproductive Medicine, PC",Yes,Yes,Yes,Yes,Yes,No,No,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CENTER FOR REPRODUCTIVE MEDICINE,,MOBILE,ALABAMA,100%,0%,0%,0%,76%,0%,2%,<1%,2%,18%,5%,6%,14%,<1%,12%,13%,0%,11%,0.21,"George T. Koulianos, MD",98.00,42.00,21.00,11.00,1.00,40.00,29.30,19.30,0.00,0.00,49.00,45.20,42.90,0.00,0.00,44.90,38.10,38.10,0.00,0.00,(34.8Ð55.3),(23.6Ð54.4),(18.1Ð61.6),,,55,45.7,0.42,0.00,0.00,57.1,45.7,0.42,0.00,0.00,40.3,42.9,0.37,0.00,0.00,18.4,16.7,9.5,0.27,0.00,2,2.3,3,3.6,6,33.3,0.16,0.22,=,=,0,0.05,0.00,=,=,29.5,0.06,0.13,=,=,4,4,3,0,0,0.25,0.00,0.00,=,=,2,2,2,=,=,20,4,55,0.50,2.1,2.3,Center for Reproductive Medicine,Yes,Yes,No,Yes,Yes,Yes,Yes,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,UNIVERSITY OF SOUTH ALABAMA IVF AND ART PROGRAM,,MOBILE,ALABAMA,100%,0%,0%,0%,87%,0%,0%,0%,0%,12%,12%,2%,2%,0%,2%,5%,0%,48%,0.17,"Botros M. Rizk, MD",23.00,8.00,3.00,2.00,3.00,17.10,20.00,0.25,0.00,0.00,34.80,0.50,0.33,0.00,0.00,30.40,0.50,0.00,0.00,0.00,(13.2Ð52.9),,,,,33.3,0.50,0.00,0.00,0.00,33.3,0.50,0.00,0.00,0.00,33.3,0.50,0.00,0.00,0.00,8.7,0.00,0.00,0.00,0.00,2,2.5,2,2,1,0.00,0.00,0.00,=,=,0.00,0.00,0.00,=,=,0.00,0.00,=,=,=,1,1,0,1,0,0.00,0.00,=,0.00,=,2,3,=,3,=,0,0,=,=,=,=,University of South Alabama IVF and ART Program,No,No,No,No,Yes,Yes,Yes,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PENINSULA MEDICAL CENTER,"JOHN NELS ANDERSON, MD",SOLDOTNA,ALASKA,100%,0%,0%,0%,37%,0%,0%,0%,0%,11%,7%,7%,3%,0%,21%,13%,7%,12%,0.19,"John N. Anderson, MD",35.00,17.00,9.00,9.00,5.00,13.90,34.20,0.00,0.00,0.00,34.30,0.59,0.00,0.00,0.40,25.70,0.35,0.00,0.00,0.00,(12.5Ð43.3),,,,,28.1,0.38,0.00,0.00,0.00,29,0.40,0.00,0.00,0.00,29,0.20,0.00,0.00,0.00,8.6,0.06,0.11,0.11,0.20,2.3,2.5,4.8,2.8,3.5,0.08,0.40,=,=,0.00,0.00,0.00,=,=,0.00,0.00,0.50,=,=,=,8,4,0,0,0,0.00,0.00,=,=,=,1.8,2.5,=,=,=,3,0,0.00,=,2.7,=,"Peninsula Medical Center, John Nels Anderson, MD",No,No,No,No,Yes,No,No,AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WEST VALLEY FERTILITY CENTER,,GLENDALE,ARIZONA,100%,0%,0%,0%,97%,0%,2%,4%,0%,4%,0%,5%,1%,1%,39%,4%,2%,9%,0.35,"Vladimir Troche, MD",59.00,18.00,20.00,7.00,0.00,33.60,18.40,10.50,0.17,=,49.20,0.44,30.00,0.43,=,44.10,0.39,15.00,0.14,=,(31.2Ð57.6),,(3.2Ð37.9),,,44.8,0.39,0.17,0.14,=,46.4,0.44,0.17,0.14,=,28.6,0.38,0.17,0.14,=,1.7,0.00,10,0.00,=,2.2,3.1,3.2,2.6,=,48.3,0.00,0.00,0.33,=,0,0.13,0.00,0.00,=,38.5,0.14,0.00,0.00,=,19,7,4,2,0,0.42,0.29,0.00,0.00,=,2.6,2.7,3.3,4.5,=,17,13,0.53,0.15,2.2,2.4,West Valley Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ARIZONA REPRODUCTIVE MEDICINE SPECIALISTS,,PHOENIX,ARIZONA,100%,0%,0%,0%,61%,0%,0%,1%,7%,5%,5%,14%,2%,<1%,21%,2%,4%,13%,0.37,"Drew V. Moffitt, MD",116.00,64.00,47.00,8.00,4.00,33.60,17.20,18.10,0.14,0.00,47.40,25.00,25.50,0.25,0.00,40.50,21.90,14.90,0.25,0.00,(31.5Ð50.0),(12.5Ð34.0),(6.2Ð28.3),,,43.1,26.4,18.4,0.33,0.00,44.3,26.4,19.4,0.33,0.00,27.4,18.9,11.1,0.33,0.00,6,17.2,19.1,0.25,0.00,2.1,2.2,2.3,2.3,2.5,34.5,0.31,0.33,0.00,=,3.6,0.00,0.00,0.00,=,38.3,0.29,0.43,0.00,=,68,39,27,5,1,35.3,30.8,25.9,0.20,0.00,1.8,1.8,1.8,2,2,24,15,62.5,0.33,1.9,2,Arizona Reproductive Medicine Specialists,Yes,Yes,Yes,No,Yes,Yes,Yes,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,SOUTHWEST FERTILITY CENTER,,PHOENIX,ARIZONA,100%,0%,0%,0%,75%,0%,0%,2%,5%,4%,1%,9%,0%,1%,6%,0%,2%,29%,0.48,"Sujatha Gunnala, MD",42.00,7.00,10.00,5.00,0.00,22.10,0.13,11.50,0.06,=,33.30,0.14,0.30,0.20,=,26.20,0.14,0.30,0.20,=,(13.9Ð42.0),,,,,26.8,0.14,0.30,0.20,=,29.7,0.14,0.33,0.20,=,18.9,0.00,0.33,0.20,=,2.4,0.00,0.00,0.00,=,2.3,2.1,2.9,3.4,=,0.36,1.00,0.00,0.00,=,0.00,0.00,0.00,0.00,=,0.36,1.00,0.00,0.00,=,8,3,0,0,0,0.25,0.33,=,=,=,2.6,1.7,=,=,=,6,4,0.83,0.25,2.3,2,Southwest Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
