PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshCI1,FshCI2,FshCI3,FshCI4,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDSingLvBirthRate1,FshNDSingLvBirthRate2,FshNDSingLvBirthRate3,FshNDSingLvBirthRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation
ART PROGRAM OF ALABAMA,,BIRMINGHAM,ALABAMA,100%,0%,0%,0%,78%,0%,0%,2%,1%,<1%,2%,0%,4%,<1%,0%,22%,69%,"Kathryn L. Honea, MD",150,39,33,1,46.7,35.9,27.3,1,42.7,33.3,12.1,0,(34.6-51.0),(19.1-50.2),(3.4-28.2),,47.1,38.2,14.3,0,47.4,38.2,14.3,0,28.1,20.6,7.1,0,9.3,12.8,15.2,0,2.2,2.5,2.8,5,41.4,0.428571429,0.333333333,0,1.4,0,0,0,40.6,0.461538462,0.5,=,27,4,4,0,25.9,0,0.5,=,2.2,2.3,2.3,=,29,13,55.2,0.153846154,2.1,2.2,ART Fertility Program of Alabama,Yes,Yes,No,Yes,Yes,Yes,Yes
CENTER FOR REPRODUCTIVE MEDICINE,,MOBILE,ALABAMA,100%,0%,0%,0%,74%,0%,0%,16%,3%,1%,9%,0%,11%,11%,0%,23%,26%,"George T. Koulianos, MD",110,26,28,9,64.5,50,35.7,0,55.5,42.3,28.6,0,(45.7-64.9),(23.4-63.1),(13.2-48.7),,60.4,47.8,33.3,0,61,50,33.3,0,38,27.3,29.2,0,8.2,11.5,14.3,0.555555556,2.2,2.6,4.1,2,39.4,0.307692308,0.3,=,4.2,0.153846154,0.1,=,37.7,0.454545455,0.125,=,8,1,5,0,0.125,0,0,=,2.3,7,3.2,=,26,4,61.5,0,2.2,2.8,Center for Reproductive Medicine,Yes,Yes,No,Yes,Yes,Yes,Yes
UNIVERSITY OF SOUTH ALABAMA IVF AND ART PROGRAM,,MOBILE,ALABAMA,100%,0%,0%,0%,35%,0%,0%,8%,5%,3%,10%,0%,3%,5%,0%,31%,36%,"Botros M. Rizk, MD",20,9,6,2,15,0.333333333,0.166666667,0,15,0.333333333,0.166666667,0,(3.2-37.9),,,,0.166666667,0.375,0.25,0,0.176470588,0.375,0.25,0,0.058823529,0.25,0.25,0,10,0.111111111,0.333333333,0,2.4,3.4,2.5,2,0.666666667,0.333333333,0,=,0,0,0,=,0.666666667,0.333333333,0,=,1,0,0,0,0,=,=,=,4,=,=,=,1,0,1,=,3,=,University of South Alabama IVF and ART Program,Yes,No,No,Yes,Yes,Yes,Yes
FERTILITY TREATMENT CENTER,,CHANDLER,ARIZONA,100%,0%,0%,0%,76%,0%,0%,7%,13%,39%,3%,<1%,11%,2%,6%,11%,8%,"H. Randall Craig, MD",67,33,43,16,28.4,15.2,9.3,0.0625,26.9,12.1,4.7,0.0625,(16.8-39.1),(3.4-28.2),(0.6-15.8),,29.5,13.8,5.9,0.083333333,36.7,17.4,7.4,0.142857143,26.5,4.3,7.4,0.142857143,9,12.1,20.9,0.25,2.4,2.5,2.9,1.9,0.263157895,0.4,0,0,0,0.2,0,0,0.277777778,0.75,0,0,60,25,20,6,51.7,36,25,0.333333333,2.2,2.5,2.3,2.5,31,40,54.8,40,2,2.1,Fertility Treatment Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WEST VALLEY FERTILITY CENTER,,GLENDALE,ARIZONA,100%,0%,0%,0%,69%,0%,2%,8%,1%,5%,1%,0%,31%,2%,7%,8%,35%,"Vladimir Troche, MD",71,22,18,9,45.1,50,0.388888889,0.444444444,40.8,45.5,0.388888889,0.222222222,(29.3-53.2),(24.4-67.8),,,43.3,0.555555556,0.466666667,0.222222222,44.6,0.555555556,0.5,0.25,26.2,0.388888889,0.285714286,0.25,5.6,18.2,0.166666667,0,2.9,3.8,3.8,4.6,43.8,0.272727273,0.285714286,0,3.1,0,0.285714286,0,41.4,0.3,0.428571429,0,17,4,3,1,0.647058824,0.5,0,0,3,2.5,2.7,3,12,7,0.583333333,0.285714286,2.5,3,West Valley Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ARIZONA REPRODUCTIVE MEDICINE SPECIALISTS,,PHOENIX,ARIZONA,100%,0%,0%,0%,42%,0%,0%,11%,8%,18%,6%,<1%,19%,3%,13%,9%,14%,"Drew V. Moffitt, MD",127,35,19,3,29.1,31.4,0.263157895,0.333333333,26,28.6,0.105263158,0.333333333,(18.6-34.5),(14.6-46.3),,,28.4,40,0.133333333,0.5,31.4,41.7,0.142857143,0.5,21.9,29.2,0.142857143,0.5,8.7,28.6,0.210526316,0.333333333,2.6,2.8,3,4.5,24.3,0.272727273,0.2,0,5.4,0.090909091,0,0,30.3,0.3,0,0,44,17,17,2,11.4,0.294117647,0.470588235,0,2.5,3,2.8,3.5,20,5,45,0.2,2.6,2.6,Arizona Reproductive Medicine Specialists,Yes,Yes,Yes,No,Yes,Yes,Yes
SOUTHWEST FERTILITY CENTER,,PHOENIX,ARIZONA,100%,0%,0%,0%,36%,0%,1%,12%,5%,6%,2%,<1%,3%,6%,6%,42%,18%,"Sujatha Gunnala, MD",58,14,15,7,51.7,0.357142857,0.4,0,43.1,0.357142857,0.266666667,0,(30.2-56.8),,,,43.9,0.357142857,0.266666667,0,48.1,0.357142857,0.307692308,0,28.8,0.142857143,0.076923077,0,1.7,0,0,0.142857143,2.5,2.5,2.6,3.2,33.3,0.6,0.5,=,0,0,0,=,40,0.6,0.75,=,6,3,2,1,0.5,0.333333333,1,0,2.2,2.7,3,2,11,2,0.636363636,0.5,1.8,3.5,Southwest Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ARIZONA CENTER FOR FERTILITY STUDIES,,SCOTTSDALE,ARIZONA,19%,5%,76%,0%,17%,0%,1%,9%,<1%,12%,4%,2%,16%,30%,16%,6%,5%,"Jay S. Nemiro, MD",83,43,35,14,44.6,32.6,14.3,0.071428571,43.4,32.6,11.4,0,(32.5-54.7),(19.1-48.5),(3.2-26.7),,46.2,36.8,14.8,0,50.7,43.8,16.7,0,36.6,43.8,16.7,0,6,11.6,22.9,0.142857143,3.8,3.3,3.3,2.6,21.6,0,0,0,13.5,0,0,0,27.8,0,0,=,5,6,2,0,0.4,0,0,=,5,4.5,3.5,=,27,15,44.4,0.066666667,4.7,4.3,Arizona Center for Fertility Studies,Yes,Yes,Yes,Yes,Yes,Yes,Yes
IVF PHOENIX,,SCOTTSDALE,ARIZONA,98%,2%,0%,0%,61%,0%,2%,8%,12%,0%,3%,0%,22%,5%,15%,7%,28%,"John L. Couvaras, MD",22,14,5,2,40.9,0.428571429,0.2,0.5,36.4,0.428571429,0.2,0,(17.2-59.3),,,,38.1,0.461538462,0.2,0,40,0.461538462,0.25,0,15,0.307692308,0.25,0,4.5,0.071428571,0,0,2.8,3.4,2.3,5.5,0.444444444,0.166666667,0,0,0.111111111,0.166666667,0,0,0.625,0.333333333,0,=,10,4,0,1,0.1,0,=,0,3.3,2.8,=,8,1,0,1,=,3,=,IVF Phoenix,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ARIZONA CENTER FOR REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY,,TUCSON,ARIZONA,100%,0%,0%,0%,37%,0%,0%,15%,2%,13%,19%,<1%,21%,5%,10%,8%,7%,"Timothy J. Gelety, MD",90,25,33,8,47.8,56,33.3,0.375,41.1,44,27.3,0.375,(30.8-52.0),(24.4-65.1),(13.3-45.5),,43,47.8,27.3,0.375,43,47.8,27.3,0.375,22.1,26.1,21.2,0.375,4.4,8,0,0,3.5,4.4,4.2,3.9,27.9,0.285714286,0.181818182,0.333333333,16.3,0.071428571,0,0,48.6,0.454545455,0.222222222,0,37,8,14,4,21.6,0.625,0.142857143,0,3.9,4.1,4.2,3.8,10,35,0.4,37.1,3.3,3.9,Arizona Center for Reproductive Endocrinology and Infertility,Yes,Yes,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE HEALTH CENTER,,TUCSON,ARIZONA,100%,0%,0%,0%,35%,0%,0%,22%,2%,3%,10%,2%,15%,16%,7%,12%,12%,"Scot M. Hutchison, MD",37,26,8,9,21.6,23.1,0.125,0.111111111,18.9,19.2,0.125,0.111111111,(8.0-35.2),(6.6-39.4),,,20,25,0.142857143,0.125,20,0.263157895,0.142857143,0.125,17.1,0.157894737,0,0.125,5.4,23.1,0.125,0.111111111,2.8,2.9,3.4,2.6,0.125,0.666666667,1,0,0,0,0,0,0.142857143,0.4,1,0,14,5,2,0,0.357142857,0.4,0,=,2.9,2.8,2.5,=,12,17,0.25,0.352941176,2.3,3.1,Reproductive Health Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GARFIELD FERTILITY CENTER,,ALHAMBRA,CALIFORNIA,100%,0%,0%,0%,7%,0%,5%,12%,10%,20%,8%,2%,2%,8%,4%,26%,10%,"Brian C. Su, MD",14,13,4,6,0.642857143,0.538461538,0.5,0.333333333,0.642857143,0.384615385,0,0.166666667,,,,,0.692307692,0.384615385,0,0.25,0.692307692,0.5,0,0.25,0.461538462,0.2,0,0.25,0.071428571,0,0,0.333333333,3.2,3.4,2.8,2.5,0.222222222,0.571428571,0,0,0.111111111,0,0,0,0.333333333,0.6,=,0,1,2,0,0,0,0,=,=,2,2.5,=,=,5,1,0.6,0,3,3,Garfield Fertility Center,Yes,Yes,No,Yes,Yes,Yes,Yes
ALTA BATES IN VITRO FERTILIZATION PROGRAM,,BERKELEY,CALIFORNIA,100%,0%,0%,0%,86%,0%,3%,6%,7%,13%,5%,5%,9%,5%,3%,20%,28%,"Ryszard J. Chetkowski, MD",22,9,20,5,45.5,0.555555556,40,0.2,36.4,0.555555556,40,0.2,(17.2-59.3),,(19.1-63.9),,40,0.625,0.421052632,0.2,0.421052632,0.625,0.5,0.25,0.315789474,0.5,0.375,0,9.1,0.111111111,5,0,2.9,3.1,2.8,4.5,0.2,0.2,0.25,1,0.1,0.2,0.125,0,0.25,0.2,0.25,1,11,4,6,1,0.454545455,0,0.166666667,1,2.5,2.8,2.7,6,20,25,50,36,2.4,2.6,Alta Bates In Vitro Fertilization Program,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CENTER FOR REPRODUCTIVE HEALTH & GYNECOLOGY,(CRH&G),BEVERLY HILLS,CALIFORNIA,100%,0%,0%,0%,54%,0%,0%,3%,2%,17%,2%,0%,12%,5%,12%,29%,19%,"Sam Najmabadi, MD",34,30,32,18,52.9,40,31.3,0.222222222,23.5,30,18.8,0.166666667,(10.7-41.2),(14.7-49.4),(7.2-36.4),,23.5,30,21.4,0.214285714,24.2,33.3,21.4,0.214285714,21.2,25.9,14.3,0.214285714,0,0,12.5,0.222222222,2.6,3.2,3,2.8,0.055555556,0.333333333,0.3,0,0.055555556,0,0,0,0.125,0.222222222,0.333333333,0,6,4,2,1,0.166666667,0.5,0.5,0,2.5,2.8,3,3,17,5,0.647058824,0.8,2.3,1.8,Center for Reproductive Health & Gynecology (CRH&G),Yes,No,Yes,Yes,Yes,Yes,Yes
SOUTHERN CALIFORNIA REPRODUCTIVE CENTER,,BEVERLY HILLS,CALIFORNIA,100%,0%,0%,0%,49%,0%,2%,10%,4%,16%,3%,1%,20%,8%,3%,16%,18%,"Mark W. Surrey, MD",66,46,46,27,51.5,50,37,25.9,48.5,50,30.4,14.8,(36.0-61.1),(34.9-65.1),(17.7-45.8),(4.2-33.7),49.2,51.1,31.8,15.4,56.1,57.5,35,19,29.8,35,27.5,19,1.5,2.2,4.3,3.7,2.3,2.2,2.3,2.3,41.2,30.4,0.235294118,0,8.8,17.4,0.058823529,0,46.9,39.1,0.214285714,0,13,9,3,0,0.461538462,0.444444444,0.666666667,=,3,2.8,3,=,16,4,0.75,0.5,2.4,2.3,Southern California Reproductive Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SOUTHERN CALIFORNIA REPRODUCTIVE CENTER,,BEVERLY HILLS,CALIFORNIA,100%,0%,0%,0%,39%,0%,0%,7%,5%,38%,2%,0%,9%,8%,18%,5%,8%,"Hal Danzer, MD",40,24,36,32,60,45.8,25,15.6,50,45.8,16.7,15.6,(33.8-66.2),(25.6-67.2),(6.4-32.8),(5.3-32.8),50,47.8,16.7,16.1,52.6,50,20.7,22.7,36.8,27.3,10.3,18.2,0,4.2,0,3.1,2.2,2.7,3.2,3.2,20.8,0.636363636,0.444444444,0.2,4.2,0.090909091,0,0,30,0.454545455,0.5,0.2,11,2,3,0,0.454545455,0.5,0,=,2.4,3,3,=,26,12,61.5,0.416666667,2.3,2.7,Southern California Reproductive Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
